applicant_id,full_name,ssn,date_of_birth,address,employer_name,annual_income,credit_score,loan_amount,loan_purpose,email,phone_number,time_at_address_months,time_at_employer_months,num_recent_inquiries,is_fraud
APP-000001,Allison Hill,589-21-7912,1962-05-06,"819 Johnson Course, East William, AK 74064",North Ridge Logistics,48191,537,19000,debt_consolidation,jennifermiles@example.com,379-402-6542,68,63,3,0
APP-000002,Phillip Garcia,643-38-8359,1971-12-21,"9407 Teresa Lane Apt. 849, Barbaraland, AZ 87174",Greenline Telecom,161485,550,52000,auto,kendragalloway@example.org,164-752-5534,149,56,2,1
APP-000003,Melinda Jones,568-22-6881,1966-09-05,"76483 Cameron Trail, East Lydiamouth, MO 35594",Crescent Energy,80110,693,10500,education,clarksherri@example.net,537-672-4238,77,45,3,0
APP-000004,Nicole Patterson,496-83-4150,1956-04-02,"28710 Eric Estate Suite 916, Carlsonmouth, NC 33454",Silver Oak Pharmacy,92231,774,43500,home_improvement,frazierdanny@example.net,451-462-7048,37,102,0,0
APP-000005,Katie Rodriguez,636-30-7065,1972-10-19,"52880 Burns Creek, Natashaport, IA 08093",Crescent Energy,63806,745,18500,small_business,nataliearroyo@example.org,718-227-8248,224,65,2,0
APP-000006,Jenny Lewis,484-91-4598,1958-10-05,"465 Lam Mission, East Jeffreymouth, AK 77611",Atlas Construction,72687,671,21500,moving,briannasmith@example.net,031-051-8347,142,192,1,0
APP-000007,Carlos Walls,630-37-9179,1972-11-26,"76311 Gomez Loop Suite 010, Chandlerville, IA 25613",BrightPath Education,108831,791,55500,vacation,amandataylor@example.org,473-178-1080,86,108,1,0
APP-000008,Tammy Allison,641-56-4593,1976-02-13,"3602 Smith Loaf Suite 746, Mooreport, IL 08166",Peakstone Retail,120282,648,60500,wedding,adkinsbrian@example.net,788-208-1219,73,197,9,0
APP-000009,Scott Powell,686-79-1234,1960-07-05,"USNS Riley, FPO AE 81684",Greenline Telecom,182986,795,51000,vacation,barnesbrandy@example.net,543-534-6247,34,45,2,1
APP-000010,Paul Jones,143-24-5808,2001-12-27,"83842 Ibarra Gardens, Justinmouth, MP 71701",BrightPath Education,87149,740,37500,medical,cheryl80@example.net,841-241-1824,180,190,3,0
APP-000011,Daniel Cooper,488-91-9317,1952-08-24,"740 Cynthia Village Suite 005, Lake Tina, GA 97655",Greenline Telecom,195656,846,75000,small_business,barnold@example.net,011-280-5982,73,134,1,0
APP-000012,Andrew Diaz,674-56-6038,1985-11-25,"USS Nolan, FPO AE 89900",Summit Financial Group,88135,774,27500,debt_consolidation,elizabethgomez@example.net,692-322-6025,3,0,1,1
APP-000013,Jennifer Santiago,116-94-8787,2003-04-04,"2160 Walker Viaduct, Baileybury, IN 03602",Pioneer Foods,203188,805,551500,medical,raymondramirez@example.org,458-685-0142,193,130,2,1
APP-000014,Victoria Johnson,781-95-7118,1999-09-11,"569 Paul Ports Apt. 406, New Saraside, TX 94798",UrbanCore Services,180440,767,75000,wedding,michaeljones@example.net,595-148-4656,60,144,3,0
APP-000015,Kristen Lee,548-10-2163,1963-03-19,"299 Sullivan Village Apt. 443, Floydmouth, NH 58406",Silver Oak Pharmacy,106155,588,20000,debt_consolidation,glowe@example.com,214-895-1343,92,11,5,0
APP-000016,Brittany Williams,477-79-3167,1958-05-27,"Unit 9176 Box 9367, DPO AA 32480",Silver Oak Pharmacy,140441,795,55500,education,dianasmith@example.org,632-870-8317,90,24,3,0
APP-000017,John Schmidt,644-62-8651,1974-02-26,"9868 Merritt Summit Suite 743, Katiehaven, NM 82650",Silver Oak Pharmacy,112114,791,31500,debt_consolidation,joshuajones@example.com,345-581-2236,110,54,0,0
